Chrom,Start,Stop,Gene
Chr01,27355,28320,ID=Glyma.01G000100.Wm82.a2.v1;Name=Glyma.01G000100;ancestorIdentifier=Glyma01g00210.v1.1
Chr01,58975,67527,ID=Glyma.01G000200.Wm82.a2.v1;Name=Glyma.01G000200
Chr01,67770,69968,ID=Glyma.01G000300.Wm82.a2.v1;Name=Glyma.01G000300
Chr01,90152,95947,ID=Glyma.01G000400.Wm82.a2.v1;Name=Glyma.01G000400;ancestorIdentifier=Glyma01g00300.v1.1
Chr01,90289,91197,ID=Glyma.01G000500.Wm82.a2.v1;Name=Glyma.01G000500
Chr01,116094,127845,ID=Glyma.01G000600.Wm82.a2.v1;Name=Glyma.01G000600;ancestorIdentifier=Glyma01g00321.v1.1
Chr01,143467,155573,ID=Glyma.01G000700.Wm82.a2.v1;Name=Glyma.01G000700;ancestorIdentifier=Glyma01g00341.v1.1
Chr01,157030,157772,ID=Glyma.01G000800.Wm82.a2.v1;Name=Glyma.01G000800;ancestorIdentifier=Glyma01g00361.v1.1
Chr01,170534,193342,ID=Glyma.01G000900.Wm82.a2.v1;Name=Glyma.01G000900;ancestorIdentifier=Glyma01g00380.v1.1
Chr01,196256,201895,ID=Glyma.01G001000.Wm82.a2.v1;Name=Glyma.01G001000;ancestorIdentifier=Glyma01g00400.v1.1
Chr01,205453,222233,ID=Glyma.01G001100.Wm82.a2.v1;Name=Glyma.01G001100;ancestorIdentifier=Glyma01g00410.v1.1
Chr01,221661,225775,ID=Glyma.01G001200.Wm82.a2.v1;Name=Glyma.01G001200;ancestorIdentifier=Glyma01g00420.v1.1
Chr01,227021,237987,ID=Glyma.01G001300.Wm82.a2.v1;Name=Glyma.01G001300;ancestorIdentifier=Glyma01g00430.v1.1
Chr01,244111,244455,ID=Glyma.01G001400.Wm82.a2.v1;Name=Glyma.01G001400;ancestorIdentifier=Glyma01g00440.v1.1
Chr01,246904,260666,ID=Glyma.01G001500.Wm82.a2.v1;Name=Glyma.01G001500;ancestorIdentifier=Glyma01g00450.v1.1
Chr01,260356,269483,ID=Glyma.01G001600.Wm82.a2.v1;Name=Glyma.01G001600;ancestorIdentifier=Glyma01g00460.v1.1
Chr01,269071,274045,ID=Glyma.01G001700.Wm82.a2.v1;Name=Glyma.01G001700;ancestorIdentifier=Glyma01g00470.v1.1
